Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
JSR,Japan,JPN,Chemicals,No,medium,JP3385980002,6470986,01/09/2022,07/05/2022,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,Yes,Yes,No,No
JSW Energy,India,IND,Electricity Utilities,No,large,INE121E01018,B4X3ST8,01/11/2023,07/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
JSW Steel,India,IND,Steel,No,large,INE019A01038,BZBYJJ7,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
JSW Steel,India,IND,Steel,No,large,INE019A01038,BZBYJJ7,01/09/2022,15/04/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,Yes,Yes,No
JSW Steel,India,IND,Steel,No,large,INE019A01038,BZBYJJ7,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No
Japan Airlines,Japan,JPN,Airlines,No,large,JP3705200008,B8BRV46,01/11/2023,05/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Japan Airlines,Japan,JPN,Airlines,No,large,JP3705200008,B8BRV46,01/09/2022,15/04/2022,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Japan Airlines,Japan,JPN,Airlines,No,large,JP3705200008,B8BRV46,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No
Japan Post,Japan,JPN,Services,No,large,JP3752900005,BYT8143,01/11/2023,04/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No
Japan Pulp & Paper,Japan,JPN,Paper,No,small,JP3694000005,6470306,01/11/2023,16/02/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,Yes,No,No
Japan Pulp & Paper,Japan,JPN,Paper,No,small,JP3694000005,6470306,01/09/2022,08/05/2022,2,up,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No
Japan Pulp & Paper,Japan,JPN,Paper,No,small,JP3694000005,6470306,01/11/2021,31/03/2021,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No
Japan Steel Works,Japan,JPN,Steel,No,medium,JP3721400004,6470685,01/11/2023,22/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Japan Tobacco,Japan,JPN,Consumer Goods,No,large,JP3726800000,6474535,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Jardine Matheson,Hong Kong,HKG,Coal Mining,No,large,BMG507361001,6472119,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
Jardine Matheson,Hong Kong,HKG,Coal Mining,No,large,BMG507361001,6472119,01/09/2022,15/04/2022,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No
Jardine Matheson,Hong Kong,HKG,Coal Mining,No,large,BMG507361001,6472119,01/11/2021,31/03/2021,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jastrzebska Spolka Weglowa,Poland,POL,Coal Mining,No,small,PLJSW0000015,B6R2S06,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Jastrzebska Spolka Weglowa,Poland,POL,Coal Mining,No,small,PLJSW0000015,B6R2S06,01/09/2022,07/05/2022,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No
Jastrzebska Spolka Weglowa,Poland,POL,Coal Mining,No,small,PLJSW0000015,B6R2S06,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
JetBlue,United States of America,USA,Airlines,No,small,US4771431016,2852760,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,No,No,Yes,No
JetBlue,United States of America,USA,Airlines,No,small,US4771431016,2852760,01/09/2022,23/04/2022,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No
JetBlue,United States of America,USA,Airlines,No,small,US4771431016,2852760,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not applicable,No,Yes,No,No,No,Yes,No
Jindal Steel & Power,India,IND,Steel,No,medium,INE749A01030,6726816,01/11/2023,17/04/2023,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No
Jindal Steel & Power,India,IND,Steel,No,medium,INE749A01030,6726816,01/09/2022,07/05/2022,2,up,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Not applicable,No,No,No,No,No,No,No
